Generation,Population,Score,Steps,Fitness
1,0,2,76,0.05263157894736842
1,1,7,217,0.22580645161290322
1,2,4,116,0.13793103448275862
1,3,7,322,0.15217391304347827
1,4,8,248,0.25806451612903225
1,5,0,1,0.0
1,6,4,224,0.07142857142857142
1,7,8,216,0.2962962962962963
1,8,2,92,0.043478260869565216
1,9,0,1,0.0
1,10,6,282,0.1276595744680851
1,11,3,108,0.08333333333333333
1,12,0,1,0.0
1,13,9,333,0.24324324324324326
1,14,5,220,0.11363636363636363
1,15,4,84,0.19047619047619047
1,16,10,240,0.4166666666666667
1,17,1,49,0.02040816326530612
1,18,5,200,0.125
1,19,8,192,0.3333333333333333
1,20,5,195,0.1282051282051282
1,21,8,328,0.1951219512195122
1,22,1,25,0.04
1,23,4,116,0.13793103448275862
1,24,6,282,0.1276595744680851
1,25,2,88,0.045454545454545456
1,26,7,224,0.21875
1,27,10,380,0.2631578947368421
1,28,6,162,0.2222222222222222
1,29,8,344,0.18604651162790697
1,30,3,156,0.057692307692307696
1,31,7,315,0.15555555555555556
1,32,3,57,0.15789473684210525
1,33,5,190,0.13157894736842105
1,34,0,1,0.0
1,35,9,441,0.1836734693877551
1,36,9,180,0.45
1,37,2,38,0.10526315789473684
1,38,6,288,0.125
1,39,4,204,0.0784313725490196
1,40,7,140,0.35
1,41,9,450,0.18
1,42,8,240,0.26666666666666666
1,43,6,336,0.10714285714285714
1,44,6,264,0.13636363636363635
1,45,5,120,0.20833333333333334
1,46,6,144,0.25
1,47,2,46,0.08695652173913043
1,48,7,315,0.15555555555555556
1,49,4,220,0.07272727272727272
1,50,9,279,0.2903225806451613
1,51,2,50,0.08
1,52,1,37,0.02702702702702703
1,53,5,110,0.22727272727272727
1,54,4,180,0.08888888888888889
1,55,0,1,0.0
1,56,2,60,0.06666666666666667
1,57,6,186,0.1935483870967742
1,58,10,400,0.25
1,59,10,310,0.3225806451612903
1,60,5,185,0.13513513513513514
1,61,10,310,0.3225806451612903
1,62,10,320,0.3125
1,63,9,225,0.36
1,64,0,1,0.0
1,65,8,240,0.26666666666666666
1,66,5,185,0.13513513513513514
1,67,9,324,0.25
1,68,10,240,0.4166666666666667
1,69,3,129,0.06976744186046512
1,70,10,440,0.22727272727272727
1,71,2,78,0.05128205128205128
1,72,7,189,0.25925925925925924
1,73,2,50,0.08
1,74,7,189,0.25925925925925924
1,75,10,370,0.2702702702702703
1,76,10,420,0.23809523809523808
1,77,5,225,0.1111111111111111
1,78,8,440,0.14545454545454545
1,79,6,282,0.1276595744680851
1,80,8,184,0.34782608695652173
1,81,8,280,0.22857142857142856
1,82,0,1,0.0
1,83,8,312,0.20512820512820512
1,84,0,1,0.0
1,85,7,287,0.17073170731707318
1,86,3,90,0.1
1,87,2,68,0.058823529411764705
1,88,10,290,0.3448275862068966
1,89,6,240,0.15
1,90,3,132,0.06818181818181818
1,91,9,423,0.19148936170212766
1,92,1,45,0.022222222222222223
1,93,3,120,0.075
1,94,7,231,0.21212121212121213
1,95,8,192,0.3333333333333333
1,96,5,180,0.1388888888888889
1,97,0,1,0.0
1,98,5,230,0.10869565217391304
1,99,1,19,0.05263157894736842
2,0,10,370,0.2702702702702703
2,1,9,441,0.1836734693877551
2,2,8,264,0.24242424242424243
2,3,11,286,0.4230769230769231
2,4,1,55,0.01818181818181818
2,5,9,207,0.391304347826087
2,6,2,62,0.06451612903225806
2,7,10,480,0.20833333333333334
2,8,7,308,0.1590909090909091
2,9,4,196,0.08163265306122448
2,10,11,572,0.21153846153846154
2,11,4,80,0.2
2,12,3,132,0.06818181818181818
2,13,7,168,0.2916666666666667
2,14,4,88,0.18181818181818182
2,15,11,374,0.3235294117647059
2,16,4,112,0.14285714285714285
2,17,3,81,0.1111111111111111
2,18,5,110,0.22727272727272727
2,19,11,528,0.22916666666666666
2,20,7,210,0.23333333333333334
2,21,10,440,0.22727272727272727
2,22,8,296,0.21621621621621623
2,23,3,99,0.09090909090909091
2,24,1,51,0.0196078431372549
2,25,8,192,0.3333333333333333
2,26,6,162,0.2222222222222222
2,27,11,451,0.2682926829268293
2,28,6,222,0.16216216216216217
2,29,3,90,0.1
2,30,1,29,0.034482758620689655
2,31,9,441,0.1836734693877551
2,32,2,108,0.037037037037037035
2,33,1,43,0.023255813953488372
2,34,6,258,0.13953488372093023
2,35,9,405,0.2
2,36,9,189,0.42857142857142855
2,37,8,296,0.21621621621621623
2,38,10,530,0.18867924528301888
2,39,1,32,0.03125
2,40,2,100,0.04
2,41,9,504,0.16071428571428573
2,42,10,460,0.21739130434782608
2,43,8,256,0.25
2,44,11,264,0.4583333333333333
2,45,8,160,0.4
2,46,5,125,0.2
2,47,10,420,0.23809523809523808
2,48,8,160,0.4
2,49,7,189,0.25925925925925924
2,50,2,76,0.05263157894736842
2,51,7,182,0.2692307692307692
2,52,11,451,0.2682926829268293
2,53,10,230,0.43478260869565216
2,54,11,594,0.2037037037037037
2,55,1,42,0.023809523809523808
2,56,5,115,0.21739130434782608
2,57,10,550,0.18181818181818182
2,58,1,45,0.022222222222222223
2,59,3,129,0.06976744186046512
2,60,2,48,0.08333333333333333
2,61,9,243,0.3333333333333333
2,62,7,371,0.1320754716981132
2,63,1,42,0.023809523809523808
2,64,2,60,0.06666666666666667
2,65,5,210,0.11904761904761904
2,66,8,344,0.18604651162790697
2,67,4,132,0.12121212121212122
2,68,4,212,0.07547169811320754
2,69,2,62,0.06451612903225806
2,70,4,184,0.08695652173913043
2,71,7,147,0.3333333333333333
2,72,11,506,0.2391304347826087
2,73,10,500,0.2
2,74,7,301,0.16279069767441862
2,75,3,63,0.14285714285714285
2,76,8,152,0.42105263157894735
2,77,5,100,0.25
2,78,4,148,0.10810810810810811
2,79,2,48,0.08333333333333333
2,80,10,200,0.5
2,81,7,385,0.12727272727272726
2,82,3,129,0.06976744186046512
2,83,6,264,0.13636363636363635
2,84,5,270,0.09259259259259259
2,85,9,225,0.36
2,86,8,376,0.1702127659574468
2,87,9,369,0.21951219512195122
2,88,6,186,0.1935483870967742
2,89,7,252,0.19444444444444445
2,90,8,432,0.14814814814814814
2,91,6,192,0.1875
2,92,9,477,0.16981132075471697
2,93,5,115,0.21739130434782608
2,94,10,250,0.4
2,95,7,315,0.15555555555555556
2,96,5,160,0.15625
2,97,10,420,0.23809523809523808
2,98,11,506,0.2391304347826087
2,99,3,153,0.058823529411764705
3,0,1,31,0.03225806451612903
3,1,1,46,0.021739130434782608
3,2,1,51,0.0196078431372549
3,3,8,352,0.18181818181818182
3,4,7,315,0.15555555555555556
3,5,1,56,0.017857142857142856
3,6,3,132,0.06818181818181818
3,7,6,204,0.17647058823529413
3,8,3,102,0.08823529411764706
3,9,2,102,0.0392156862745098
3,10,11,352,0.34375
3,11,5,160,0.15625
3,12,9,225,0.36
3,13,7,287,0.17073170731707318
3,14,7,238,0.20588235294117646
3,15,2,52,0.07692307692307693
3,16,6,126,0.2857142857142857
3,17,6,252,0.14285714285714285
3,18,7,133,0.3684210526315789
3,19,1,38,0.02631578947368421
3,20,7,357,0.13725490196078433
3,21,6,222,0.16216216216216217
3,22,9,297,0.2727272727272727
3,23,1,49,0.02040816326530612
3,24,6,330,0.10909090909090909
3,25,9,432,0.1875
3,26,5,185,0.13513513513513514
3,27,2,110,0.03636363636363636
3,28,5,245,0.10204081632653061
3,29,2,78,0.05128205128205128
3,30,1,53,0.018867924528301886
3,31,4,92,0.17391304347826086
3,32,6,300,0.12
3,33,1,34,0.029411764705882353
3,34,3,120,0.075
3,35,5,195,0.1282051282051282
3,36,10,540,0.18518518518518517
3,37,8,368,0.17391304347826086
3,38,8,416,0.15384615384615385
3,39,11,308,0.39285714285714285
3,40,5,165,0.15151515151515152
3,41,8,168,0.38095238095238093
3,42,9,261,0.3103448275862069
3,43,11,308,0.39285714285714285
3,44,3,162,0.05555555555555555
3,45,1,48,0.020833333333333332
3,46,2,92,0.043478260869565216
3,47,5,280,0.08928571428571429
3,48,10,280,0.35714285714285715
3,49,2,68,0.058823529411764705
3,50,9,225,0.36
3,51,9,333,0.24324324324324326
3,52,10,410,0.24390243902439024
3,53,9,432,0.1875
3,54,5,115,0.21739130434782608
3,55,2,56,0.07142857142857142
3,56,6,306,0.11764705882352941
3,57,3,159,0.05660377358490566
3,58,1,48,0.020833333333333332
3,59,8,376,0.1702127659574468
3,60,10,190,0.5263157894736842
3,61,9,396,0.20454545454545456
3,62,8,272,0.23529411764705882
3,63,3,114,0.07894736842105263
3,64,4,156,0.10256410256410256
3,65,4,168,0.09523809523809523
3,66,11,539,0.22448979591836735
3,67,11,451,0.2682926829268293
3,68,10,410,0.24390243902439024
3,69,11,484,0.25
3,70,8,288,0.2222222222222222
3,71,6,330,0.10909090909090909
3,72,5,140,0.17857142857142858
3,73,2,92,0.043478260869565216
3,74,10,340,0.29411764705882354
3,75,2,86,0.046511627906976744
3,76,8,224,0.2857142857142857
3,77,2,60,0.06666666666666667
3,78,2,82,0.04878048780487805
3,79,7,154,0.3181818181818182
3,80,9,432,0.1875
3,81,7,175,0.28
3,82,2,64,0.0625
3,83,2,68,0.058823529411764705
3,84,2,104,0.038461538461538464
3,85,1,35,0.02857142857142857
3,86,4,104,0.15384615384615385
3,87,2,44,0.09090909090909091
3,88,11,341,0.3548387096774194
3,89,2,56,0.07142857142857142
3,90,11,374,0.3235294117647059
3,91,5,190,0.13157894736842105
3,92,8,256,0.25
3,93,1,38,0.02631578947368421
3,94,7,210,0.23333333333333334
3,95,10,420,0.23809523809523808
3,96,5,245,0.10204081632653061
3,97,9,414,0.1956521739130435
3,98,10,560,0.17857142857142858
3,99,5,165,0.15151515151515152
4,0,5,255,0.09803921568627451
4,1,8,152,0.42105263157894735
4,2,12,528,0.2727272727272727
4,3,10,220,0.45454545454545453
4,4,3,75,0.12
4,5,6,126,0.2857142857142857
4,6,6,192,0.1875
4,7,7,280,0.175
4,8,4,156,0.10256410256410256
4,9,12,312,0.46153846153846156
4,10,10,400,0.25
4,11,5,145,0.1724137931034483
4,12,2,64,0.0625
4,13,7,385,0.12727272727272726
4,14,3,90,0.1
4,15,6,270,0.13333333333333333
4,16,11,286,0.4230769230769231
4,17,4,172,0.09302325581395349
4,18,12,504,0.2857142857142857
4,19,10,250,0.4
4,20,4,152,0.10526315789473684
4,21,6,210,0.17142857142857143
4,22,5,145,0.1724137931034483
4,23,11,418,0.2894736842105263
4,24,7,238,0.20588235294117646
4,25,12,252,0.5714285714285714
4,26,2,86,0.046511627906976744
4,27,12,396,0.36363636363636365
4,28,9,324,0.25
4,29,9,342,0.23684210526315788
4,30,6,162,0.2222222222222222
4,31,6,132,0.2727272727272727
4,32,10,470,0.2127659574468085
4,33,5,175,0.14285714285714285
4,34,12,312,0.46153846153846156
4,35,12,360,0.4
4,36,11,451,0.2682926829268293
4,37,3,78,0.11538461538461539
4,38,6,198,0.18181818181818182
4,39,9,315,0.2571428571428571
4,40,7,203,0.2413793103448276
4,41,4,208,0.07692307692307693
4,42,3,156,0.057692307692307696
4,43,7,133,0.3684210526315789
4,44,4,84,0.19047619047619047
4,45,3,159,0.05660377358490566
4,46,11,539,0.22448979591836735
4,47,10,290,0.3448275862068966
4,48,6,288,0.125
4,49,6,138,0.2608695652173913
4,50,6,174,0.20689655172413793
4,51,11,385,0.3142857142857143
4,52,5,245,0.10204081632653061
4,53,10,500,0.2
4,54,3,126,0.07142857142857142
4,55,4,224,0.07142857142857142
4,56,3,87,0.10344827586206896
4,57,10,340,0.29411764705882354
4,58,9,441,0.1836734693877551
4,59,2,106,0.03773584905660377
4,60,2,48,0.08333333333333333
4,61,4,124,0.12903225806451613
4,62,12,528,0.2727272727272727
4,63,9,207,0.391304347826087
4,64,11,308,0.39285714285714285
4,65,12,576,0.25
4,66,9,198,0.4090909090909091
4,67,9,360,0.225
4,68,6,156,0.23076923076923078
4,69,12,396,0.36363636363636365
4,70,10,460,0.21739130434782608
4,71,3,123,0.07317073170731707
4,72,5,155,0.16129032258064516
4,73,7,147,0.3333333333333333
4,74,8,312,0.20512820512820512
4,75,7,168,0.2916666666666667
4,76,12,312,0.46153846153846156
4,77,5,140,0.17857142857142858
4,78,6,324,0.1111111111111111
4,79,11,242,0.5
4,80,8,376,0.1702127659574468
4,81,3,153,0.058823529411764705
4,82,11,451,0.2682926829268293
4,83,3,96,0.09375
4,84,4,136,0.11764705882352941
4,85,6,282,0.1276595744680851
4,86,12,396,0.36363636363636365
4,87,10,370,0.2702702702702703
4,88,4,148,0.10810810810810811
4,89,9,288,0.28125
4,90,10,320,0.3125
4,91,8,264,0.24242424242424243
4,92,4,216,0.07407407407407407
4,93,8,216,0.2962962962962963
4,94,11,605,0.2
4,95,8,256,0.25
4,96,6,138,0.2608695652173913
4,97,9,279,0.2903225806451613
4,98,9,459,0.17647058823529413
4,99,8,344,0.18604651162790697
5,0,6,264,0.13636363636363635
5,1,5,125,0.2
5,2,4,200,0.08
5,3,4,216,0.07407407407407407
5,4,3,66,0.13636363636363635
5,5,6,276,0.13043478260869565
5,6,5,165,0.15151515151515152
5,7,5,135,0.18518518518518517
5,8,10,510,0.19607843137254902
5,9,11,451,0.2682926829268293
5,10,7,371,0.1320754716981132
5,11,10,270,0.37037037037037035
5,12,7,385,0.12727272727272726
5,13,7,259,0.1891891891891892
5,14,11,506,0.2391304347826087
5,15,4,196,0.08163265306122448
5,16,11,528,0.22916666666666666
5,17,9,486,0.16666666666666666
5,18,4,176,0.09090909090909091
5,19,12,672,0.21428571428571427
5,20,3,87,0.10344827586206896
5,21,5,205,0.12195121951219512
5,22,7,343,0.14285714285714285
5,23,5,255,0.09803921568627451
5,24,11,484,0.25
5,25,8,224,0.2857142857142857
5,26,6,156,0.23076923076923078
5,27,8,416,0.15384615384615385
5,28,10,540,0.18518518518518517
5,29,8,360,0.17777777777777778
5,30,7,329,0.14893617021276595
5,31,10,400,0.25
5,32,8,296,0.21621621621621623
5,33,11,264,0.4583333333333333
5,34,12,576,0.25
5,35,11,231,0.5238095238095238
5,36,4,164,0.0975609756097561
5,37,5,175,0.14285714285714285
5,38,11,616,0.19642857142857142
5,39,5,200,0.125
5,40,5,235,0.10638297872340426
5,41,3,78,0.11538461538461539
5,42,9,270,0.3
5,43,6,114,0.3157894736842105
5,44,5,160,0.15625
5,45,12,300,0.48
5,46,8,384,0.16666666666666666
5,47,9,198,0.4090909090909091
5,48,10,210,0.47619047619047616
5,49,9,396,0.20454545454545456
5,50,3,60,0.15
5,51,8,344,0.18604651162790697
5,52,5,115,0.21739130434782608
5,53,13,325,0.52
5,54,8,432,0.14814814814814814
5,55,11,429,0.28205128205128205
5,56,13,637,0.2653061224489796
5,57,10,390,0.2564102564102564
5,58,12,468,0.3076923076923077
5,59,9,342,0.23684210526315788
5,60,6,240,0.15
5,61,12,600,0.24
5,62,12,264,0.5454545454545454
5,63,13,637,0.2653061224489796
5,64,4,76,0.21052631578947367
5,65,5,205,0.12195121951219512
5,66,11,352,0.34375
5,67,3,105,0.08571428571428572
5,68,9,189,0.42857142857142855
5,69,6,288,0.125
5,70,7,308,0.1590909090909091
5,71,3,78,0.11538461538461539
5,72,6,282,0.1276595744680851
5,73,13,286,0.5909090909090909
5,74,5,160,0.15625
5,75,10,500,0.2
5,76,12,432,0.3333333333333333
5,77,13,611,0.2765957446808511
5,78,13,286,0.5909090909090909
5,79,5,180,0.1388888888888889
5,80,3,105,0.08571428571428572
5,81,6,252,0.14285714285714285
5,82,9,252,0.32142857142857145
5,83,8,344,0.18604651162790697
5,84,11,517,0.23404255319148937
5,85,6,324,0.1111111111111111
5,86,7,336,0.14583333333333334
5,87,11,583,0.20754716981132076
5,88,9,225,0.36
5,89,4,96,0.16666666666666666
5,90,3,150,0.06
5,91,5,220,0.11363636363636363
5,92,3,57,0.15789473684210525
5,93,12,564,0.2553191489361702
5,94,5,260,0.09615384615384616
5,95,8,352,0.18181818181818182
5,96,9,432,0.1875
5,97,6,198,0.18181818181818182
5,98,10,350,0.2857142857142857
5,99,4,84,0.19047619047619047
6,0,10,480,0.20833333333333334
6,1,5,100,0.25
6,2,11,264,0.4583333333333333
6,3,4,108,0.14814814814814814
6,4,12,264,0.5454545454545454
6,5,10,500,0.2
6,6,6,240,0.15
6,7,9,252,0.32142857142857145
6,8,13,442,0.38235294117647056
6,9,11,396,0.3055555555555556
6,10,11,275,0.44
6,11,9,324,0.25
6,12,13,351,0.48148148148148145
6,13,11,385,0.3142857142857143
6,14,13,637,0.2653061224489796
6,15,4,212,0.07547169811320754
6,16,8,200,0.32
6,17,11,319,0.3793103448275862
6,18,12,660,0.21818181818181817
6,19,10,430,0.23255813953488372
6,20,5,185,0.13513513513513514
6,21,13,559,0.3023255813953488
6,22,13,585,0.28888888888888886
6,23,4,212,0.07547169811320754
6,24,6,132,0.2727272727272727
6,25,13,689,0.24528301886792453
6,26,12,468,0.3076923076923077
6,27,8,192,0.3333333333333333
6,28,4,80,0.2
6,29,12,420,0.34285714285714286
6,30,8,344,0.18604651162790697
6,31,13,299,0.5652173913043478
6,32,12,228,0.631578947368421
6,33,3,99,0.09090909090909091
6,34,9,360,0.225
6,35,11,616,0.19642857142857142
6,36,8,448,0.14285714285714285
6,37,12,264,0.5454545454545454
6,38,13,429,0.3939393939393939
6,39,11,264,0.4583333333333333
6,40,6,312,0.11538461538461539
6,41,11,495,0.24444444444444444
6,42,5,110,0.22727272727272727
6,43,10,480,0.20833333333333334
6,44,3,114,0.07894736842105263
6,45,5,240,0.10416666666666667
6,46,7,231,0.21212121212121213
6,47,3,81,0.1111111111111111
6,48,4,188,0.0851063829787234
6,49,4,156,0.10256410256410256
6,50,8,152,0.42105263157894735
6,51,5,160,0.15625
6,52,8,152,0.42105263157894735
6,53,13,650,0.26
6,54,6,120,0.3
6,55,7,301,0.16279069767441862
6,56,9,261,0.3103448275862069
6,57,3,90,0.1
6,58,4,212,0.07547169811320754
6,59,3,114,0.07894736842105263
6,60,4,224,0.07142857142857142
6,61,5,265,0.09433962264150944
6,62,3,111,0.08108108108108109
6,63,11,517,0.23404255319148937
6,64,4,112,0.14285714285714285
6,65,10,350,0.2857142857142857
6,66,10,530,0.18867924528301888
6,67,11,550,0.22
6,68,11,286,0.4230769230769231
6,69,8,408,0.1568627450980392
6,70,10,280,0.35714285714285715
6,71,7,273,0.1794871794871795
6,72,6,180,0.2
6,73,10,190,0.5263157894736842
6,74,13,689,0.24528301886792453
6,75,9,387,0.20930232558139536
6,76,7,378,0.12962962962962962
6,77,9,324,0.25
6,78,6,192,0.1875
6,79,12,372,0.3870967741935484
6,80,8,384,0.16666666666666666
6,81,7,350,0.14
6,82,6,120,0.3
6,83,11,231,0.5238095238095238
6,84,12,492,0.2926829268292683
6,85,7,287,0.17073170731707318
6,86,10,240,0.4166666666666667
6,87,11,616,0.19642857142857142
6,88,13,455,0.37142857142857144
6,89,9,225,0.36
6,90,11,407,0.2972972972972973
6,91,13,689,0.24528301886792453
6,92,5,195,0.1282051282051282
6,93,12,228,0.631578947368421
6,94,4,196,0.08163265306122448
6,95,8,312,0.20512820512820512
6,96,13,598,0.2826086956521739
6,97,13,676,0.25
6,98,10,390,0.2564102564102564
6,99,11,352,0.34375
7,0,11,528,0.22916666666666666
7,1,6,276,0.13043478260869565
7,2,7,238,0.20588235294117646
7,3,10,530,0.18867924528301888
7,4,13,468,0.3611111111111111
7,5,10,540,0.18518518518518517
7,6,8,312,0.20512820512820512
7,7,11,264,0.4583333333333333
7,8,11,220,0.55
7,9,8,368,0.17391304347826086
7,10,5,190,0.13157894736842105
7,11,14,364,0.5384615384615384
7,12,14,364,0.5384615384615384
7,13,14,518,0.3783783783783784
7,14,14,714,0.27450980392156865
7,15,7,308,0.1590909090909091
7,16,14,378,0.5185185185185185
7,17,11,429,0.28205128205128205
7,18,8,360,0.17777777777777778
7,19,4,176,0.09090909090909091
7,20,7,147,0.3333333333333333
7,21,10,250,0.4
7,22,6,234,0.15384615384615385
7,23,12,612,0.23529411764705882
7,24,9,297,0.2727272727272727
7,25,4,76,0.21052631578947367
7,26,9,378,0.21428571428571427
7,27,12,348,0.41379310344827586
7,28,8,368,0.17391304347826086
7,29,6,288,0.125
7,30,8,368,0.17391304347826086
7,31,12,612,0.23529411764705882
7,32,12,612,0.23529411764705882
7,33,4,124,0.12903225806451613
7,34,6,270,0.13333333333333333
7,35,5,255,0.09803921568627451
7,36,12,360,0.4
7,37,9,207,0.391304347826087
7,38,7,392,0.125
7,39,4,204,0.0784313725490196
7,40,12,312,0.46153846153846156
7,41,10,290,0.3448275862068966
7,42,6,150,0.24
7,43,14,728,0.2692307692307692
7,44,8,168,0.38095238095238093
7,45,5,220,0.11363636363636363
7,46,7,175,0.28
7,47,14,294,0.6666666666666666
7,48,10,470,0.2127659574468085
7,49,10,460,0.21739130434782608
7,50,7,140,0.35
7,51,13,507,0.3333333333333333
7,52,10,400,0.25
7,53,5,115,0.21739130434782608
7,54,12,456,0.3157894736842105
7,55,9,468,0.17307692307692307
7,56,14,700,0.28
7,57,14,644,0.30434782608695654
7,58,14,728,0.2692307692307692
7,59,6,324,0.1111111111111111
7,60,5,120,0.20833333333333334
7,61,10,260,0.38461538461538464
7,62,4,200,0.08
7,63,9,189,0.42857142857142855
7,64,14,462,0.42424242424242425
7,65,7,189,0.25925925925925924
7,66,12,360,0.4
7,67,10,380,0.2631578947368421
7,68,9,360,0.225
7,69,8,304,0.21052631578947367
7,70,7,161,0.30434782608695654
7,71,5,220,0.11363636363636363
7,72,11,451,0.2682926829268293
7,73,6,264,0.13636363636363635
7,74,10,420,0.23809523809523808
7,75,4,152,0.10526315789473684
7,76,7,189,0.25925925925925924
7,77,9,342,0.23684210526315788
7,78,13,650,0.26
7,79,10,310,0.3225806451612903
7,80,8,216,0.2962962962962963
7,81,7,238,0.20588235294117646
7,82,10,240,0.4166666666666667
7,83,11,297,0.4074074074074074
7,84,10,430,0.23255813953488372
7,85,8,424,0.1509433962264151
7,86,11,275,0.44
7,87,8,424,0.1509433962264151
7,88,12,396,0.36363636363636365
7,89,5,145,0.1724137931034483
7,90,5,270,0.09259259259259259
7,91,4,192,0.08333333333333333
7,92,10,400,0.25
7,93,10,450,0.2222222222222222
7,94,11,572,0.21153846153846154
7,95,10,530,0.18867924528301888
7,96,7,203,0.2413793103448276
7,97,13,637,0.2653061224489796
7,98,6,198,0.18181818181818182
7,99,14,266,0.7368421052631579
8,0,14,476,0.4117647058823529
8,1,14,630,0.3111111111111111
8,2,6,132,0.2727272727272727
8,3,4,184,0.08695652173913043
8,4,14,686,0.2857142857142857
8,5,5,195,0.1282051282051282
8,6,14,490,0.4
8,7,14,574,0.34146341463414637
8,8,5,190,0.13157894736842105
8,9,7,210,0.23333333333333334
8,10,8,344,0.18604651162790697
8,11,8,320,0.2
8,12,14,420,0.4666666666666667
8,13,6,210,0.17142857142857143
8,14,5,210,0.11904761904761904
8,15,5,220,0.11363636363636363
8,16,4,184,0.08695652173913043
8,17,11,297,0.4074074074074074
8,18,8,368,0.17391304347826086
8,19,8,176,0.36363636363636365
8,20,13,260,0.65
8,21,14,616,0.3181818181818182
8,22,9,504,0.16071428571428573
8,23,8,160,0.4
8,24,7,322,0.15217391304347827
8,25,13,663,0.2549019607843137
8,26,10,370,0.2702702702702703
8,27,8,304,0.21052631578947367
8,28,12,492,0.2926829268292683
8,29,9,342,0.23684210526315788
8,30,9,486,0.16666666666666666
8,31,10,210,0.47619047619047616
8,32,14,406,0.4827586206896552
8,33,5,95,0.2631578947368421
8,34,4,132,0.12121212121212122
8,35,7,133,0.3684210526315789
8,36,14,280,0.7
8,37,4,76,0.21052631578947367
8,38,10,270,0.37037037037037035
8,39,7,364,0.1346153846153846
8,40,9,279,0.2903225806451613
8,41,10,280,0.35714285714285715
8,42,11,462,0.2619047619047619
8,43,13,663,0.2549019607843137
8,44,14,476,0.4117647058823529
8,45,7,364,0.1346153846153846
8,46,8,264,0.24242424242424243
8,47,12,636,0.22641509433962265
8,48,8,336,0.19047619047619047
8,49,5,260,0.09615384615384616
8,50,11,209,0.5789473684210527
8,51,11,517,0.23404255319148937
8,52,10,550,0.18181818181818182
8,53,14,756,0.25925925925925924
8,54,9,369,0.21951219512195122
8,55,12,648,0.2222222222222222
8,56,8,152,0.42105263157894735
8,57,7,371,0.1320754716981132
8,58,14,700,0.28
8,59,4,108,0.14814814814814814
8,60,11,473,0.2558139534883721
8,61,7,140,0.35
8,62,9,387,0.20930232558139536
8,63,7,308,0.1590909090909091
8,64,13,338,0.5
8,65,8,160,0.4
8,66,13,442,0.38235294117647056
